
Table/View                      Schema          Type  Creation time
SA_FBLTTYPE_UD_M                FDW             T     2007-05-21-22.46.27.763001
SA_FBMAINPDTYPE                 FDW             T     2007-05-21-22.46.27.853001
SA_FBMAINPDTYPE_M               FDW             T     2007-05-21-22.46.27.933001
SA_FBMDPD                       FDW             T     2007-05-21-22.46.28.043001
SA_FBMDPD_M                     FDW             T     2007-05-21-22.46.28.163001
SA_FBMDPD_PO_D_DDCSP_M          FDW             T     2007-05-21-22.46.28.454001
SA_FBMDPD_PO_D_TMRST_M          FDW             T     2007-05-21-22.46.28.564001
SA_FBMDPD_PO_DDCDF_M            FDW             T     2007-05-21-22.46.28.644001
SA_FBMDPD_PO_DDCSP_M            FDW             T     2007-05-21-22.46.28.854001
SA_FBMDPD_PO_DDCSP_PG_M         FDW             T     2007-05-21-22.46.28.924001
SA_FBMDPD_PO_DDCSP_T_M          FDW             T     2007-05-21-22.46.29.045000
SA_FBMDPD_PO_M                  FDW             T     2007-05-21-22.46.28.263001
SA_FBMDPD_PO_MDCSP_M            FDW             T     2007-05-21-22.46.29.125001
SA_FBMDPD_PO_MDCSP_PG_M         FDW             T     2007-05-21-22.46.29.205001
SA_FBMDPD_PO_MDCSP_T            FDW             T     2007-05-21-22.46.04.059001
SA_FBMDPD_PO_MDCSP_T_M          FDW             T     2007-05-21-22.46.29.315001
SA_FBMDPD_PO_PRCLGTM_M          FDW             T     2007-05-21-22.46.29.405001
SA_FBMDPD_PO_PRCLGTM_PG_M       FDW             T     2007-05-21-22.46.29.555001
SA_FBMDPD_PO_PRCLGTM_T_M        FDW             T     2007-05-21-22.46.29.665001
SA_FBMDPD_PO_PRLM_M             FDW             T     2007-05-21-22.46.29.766001
SA_FBMDPD_PO_PRLM_PG_M          FDW             T     2007-05-21-22.46.29.846001
SA_FBMDPD_PO_PRLM_T_M           FDW             T     2007-05-21-22.46.29.956001
SA_FBMDPD_PO_RESPPO_M           FDW             T     2007-05-21-22.46.30.056001
SA_FBMDPD_PO_RWKPD_M            FDW             T     2007-05-21-22.46.30.146001
SA_FBMDPD_PO_RWLM_M             FDW             T     2007-05-21-22.46.30.306001
SA_FBMDPD_PO_RWLM_PG_M          FDW             T     2007-05-21-22.46.30.427001
SA_FBMDPD_PO_RWLM_T_M           FDW             T     2007-05-21-22.46.30.537001
SA_FBMDPD_PO_SUBPD_M            FDW             T     2007-05-21-22.46.30.717001
SA_FBMDPD_PO_TMRST_M            FDW             T     2007-05-21-22.46.30.827001
SA_FBMDPD_PO_TMRST_PG_M         FDW             T     2007-05-21-22.46.30.927001
SA_FBMDPD_PO_TMRST_T_M          FDW             T     2007-05-21-22.46.31.017001
SA_FBMFGLAYER                   FDW             T     2007-05-21-22.46.31.138001
SA_FBMFGLAYER_M                 FDW             T     2007-05-21-22.46.31.268001
SA_FBMFGLAYER_UD_M              FDW             T     2007-05-21-22.46.31.428001
SA_FBMNPD                       FDW             T     2007-05-21-22.46.31.568001
SA_FBMNPD_M                     FDW             T     2007-05-21-22.46.31.658001
SA_FBMNPD_MDPD_M                FDW             T     2007-05-21-22.46.31.768001
SA_FBMNPD_PO_D_DDCSP_M          FDW             T     2007-05-21-22.46.32.039001
SA_FBMNPD_PO_D_TMRST_M          FDW             T     2007-05-21-22.46.32.089001
SA_FBMNPD_PO_DDCDF_M            FDW             T     2007-05-21-22.46.32.189001
SA_FBMNPD_PO_DDCSP_M            FDW             T     2007-05-21-22.46.32.329001
SA_FBMNPD_PO_DDCSP_PG_M         FDW             T     2007-05-21-22.46.32.439001
SA_FBMNPD_PO_DDCSP_T_M          FDW             T     2007-05-21-22.46.32.540001
SA_FBMNPD_PO_M                  FDW             T     2007-05-21-22.46.31.869001
SA_FBMNPD_PO_PRCLGTM_M          FDW             T     2007-05-21-22.46.32.630001
SA_FBMNPD_PO_PRCLGTM_PG_M       FDW             T     2007-05-21-22.46.32.720001
SA_FBMNPD_PO_PRCLGTM_T_M        FDW             T     2007-05-21-22.46.32.940001
SA_FBMNPD_PO_PRLM_M             FDW             T     2007-05-21-22.46.33.010001
SA_FBMNPD_PO_PRLM_PG_M          FDW             T     2007-05-21-22.46.33.110001
SA_FBMNPD_PO_PRLM_T_M           FDW             T     2007-05-21-22.46.33.191001
SA_FBMNPD_PO_RESPPO_M           FDW             T     2007-05-21-22.46.33.351001
SA_FBMNPD_PO_RWKPD_M            FDW             T     2007-05-21-22.46.33.511001
SA_FBMNPD_PO_RWLM_M             FDW             T     2007-05-21-22.46.33.581001
SA_FBMNPD_PO_RWLM_PG_M          FDW             T     2007-05-21-22.46.33.641001
SA_FBMNPD_PO_RWLM_T_M           FDW             T     2007-05-21-22.46.33.791001
SA_FBMNPD_PO_SUBPD_M            FDW             T     2007-05-21-22.46.33.892001
SA_FBMNPD_PO_TMRST_M            FDW             T     2007-05-21-22.46.33.952001
SA_FBMNPD_PO_TMRST_PG_M         FDW             T     2007-05-21-22.46.34.042001
SA_FBMNPD_PO_TMRST_T_M          FDW             T     2007-05-21-22.46.34.122000
SA_FBMNPD_PO_UD_M               FDW             T     2007-05-21-22.46.34.302001
SA_FBMNPD_UD_M                  FDW             T     2007-05-21-22.46.34.402001
SA_FBMSGDIST                    FDW             T     2007-05-21-22.46.34.603000
SA_FBMSGDIST_M                  FDW             T     2007-05-21-22.46.34.803001
SA_FBMSGDIST_UD_M               FDW             T     2007-05-21-22.46.34.953001
SA_FBMSGDIST_USER_M             FDW             T     2007-05-21-22.46.35.033001
SA_FBMSGDISTTYPE                FDW             T     2007-05-21-22.46.35.123001
SA_FBMSGDISTTYPE_M              FDW             T     2007-05-21-22.46.35.183001
SA_FBMSGMEDIA                   FDW             T     2007-05-21-22.46.35.284001
SA_FBMSGMEDIA_M                 FDW             T     2007-05-21-22.46.35.624001
SA_FBPD                         FDW             T     2007-05-21-22.46.35.734001
SA_FBPD_EQP_M                   FDW             T     2007-05-21-22.46.35.934001
SA_FBPD_LRCP_M                  FDW             T     2007-05-21-22.46.36.125001
SA_FBPD_LRCP_PG_M               FDW             T     2007-05-21-22.46.36.425000
SA_FBPD_LRCP_T_M                FDW             T     2007-05-21-22.46.36.656001
SA_FBPD_M                       FDW             T     2007-05-21-22.46.35.834001
