
Table/View                      Schema          Type  Creation time
DMR_HDRLBYMDL                   DEVMINER        T     2007-05-30-18.57.09.160909
DMR_HDRLBYREACOD                DEVMINER        T     2007-05-30-18.57.09.253814
DMR_KPI_ACT                     DEVMINER        T     2007-06-05-16.45.16.991196
DMR_KPI_ACTD                    DEVMINER        T     2007-05-30-18.57.16.465035
DMR_KPI_TR                      DEVMINER        T     2007-05-30-18.57.16.534871
DMR_LOTPRIORITY                 DEVMINER        T     2007-06-01-16.12.45.479164
DMR_LOTSCRHS                    DEVMINER        T     2007-05-30-18.57.09.331731
DMR_LOTSCT                      DEVMINER        T     2007-06-13-08.58.54.572601
DMR_NPBINOUTHS                  DEVMINER        T     2007-05-30-18.57.09.406170
DMR_NPWGRDPF                    DEVMINER        T     2007-05-30-18.57.09.548665
DMR_NPWGRPFDL                   DEVMINER        T     2007-05-30-18.57.09.618786
DMR_NPWHLDTM                    DEVMINER        T     2007-05-30-18.57.09.687332
DMR_NPWOPEMV                    DEVMINER        T     2007-05-30-18.57.09.765446
DMR_NPWOPESTB                   DEVMINER        T     2007-05-30-18.57.09.844118
DMR_NPWOPEWIP                   DEVMINER        T     2007-05-30-18.57.09.913359
DMR_NTCCAT                      DEVMINER        T     2007-06-25-11.37.54.511255
DMR_NTCCATSTG                   DEVMINER        T     2007-05-30-18.57.10.069240
DMR_OPEHT                       DEVMINER        T     2007-05-30-18.57.16.823652
DMR_OPEMOVE                     DEVMINER        T     2007-05-30-18.57.16.899436
DMR_OPESCT                      DEVMINER        T     2007-06-20-15.05.06.109371
DMR_OPEWIP                      DEVMINER        T     2007-05-30-18.57.17.063300
DMR_PCBALLOT                    DEVMINER        T     2007-05-30-18.57.10.286203
DMR_PROCCHKRST                  DEVMINER        T     2007-05-30-18.57.10.357335
DMR_REFCHTLIMIT                 DEVMINER        T     2007-05-30-18.57.10.428591
DMR_RWKCLM                      DEVMINER        T     2007-06-23-09.54.32.200792
DMR_RWKEQP                      DEVMINER        T     2007-05-30-18.57.17.286506
DMR_RWKOPE                      DEVMINER        T     2007-05-30-18.57.17.361938
DMR_RWKQTY                      DEVMINER        T     2007-05-30-18.57.17.441812
DMR_SAMETOOL                    DEVMINER        T     2007-06-22-14.25.28.714915
DMR_SAMPLE                      DEVMINER        T     2007-05-30-18.57.17.516753
DMR_SPCCHARTDEF                 DEVMINER        T     2007-05-30-18.57.10.501409
DMR_SPCCPK                      DEVMINER        T     2007-05-30-18.57.10.591678
DMR_STGMOVE                     DEVMINER        T     2007-06-05-11.24.16.407138
DMR_STGSCT                      DEVMINER        T     2007-05-30-18.57.17.663376
DMR_STGWIP                      DEVMINER        T     2007-05-30-18.57.17.750621
DMR_TWSBNKINV                   DEVMINER        T     2007-05-30-18.57.10.661446
DMR_USERCERT                    DEVMINER        T     2007-06-11-11.07.42.633142
DMR_USERCERTRATE                DEVMINER        T     2007-05-30-18.57.10.810829
DMR_WFRGCHG                     DEVMINER        T     2007-05-30-18.57.17.905829
DMR_WFRGCHGD                    DEVMINER        T     2007-06-20-09.29.52.687367
DMV_AREAGRPEQPT                 DEVMINER        V     2007-06-05-16.37.57.582365
DMV_EQP                         DEVMINER        V     2007-06-05-16.37.57.527397
DMV_EQP_CATEGORY                DEVMINER        V     2007-06-05-16.37.57.542858
DMV_KEYOPE                      DEVMINER        V     2007-06-14-15.14.20.192273
DMV_KPI_TRGD                    DEVMINER        V     2007-06-01-19.15.11.868732
DMV_KPI_TRGM                    DEVMINER        V     2007-06-01-19.15.16.731327
DMV_MODULE_LIST                 DEVMINER        V     2007-06-05-16.37.57.556066
DMV_PROD                        DEVMINER        V     2007-06-05-15.50.10.381582
DMV_PROD_OPE_LIST               DEVMINER        V     2007-06-25-10.37.58.413487
DMV_ROUTE_TYPE                  DEVMINER        V     2007-06-05-16.37.57.569796
DMV_SKILL                       DEVMINER        V     2007-06-05-16.37.57.610653
DMV_STAGE                       DEVMINER        V     2007-06-05-16.37.57.623417
DW_DRBLXFERHS                   DEVMINER        T     2007-04-13-18.47.45.386268
DW_FHWLTHS_OT                   DEVMINER        T     2007-04-13-18.47.45.556370
DW_FOUPSTATUSHS                 DEVMINER        T     2007-04-13-18.47.45.475925
DW_OPERACTION                   DEVMINER        T     2007-04-13-18.47.44.881775
DW_OPERHLDREL                   DEVMINER        T     2007-04-13-18.47.44.975460
DW_OPERMOVE                     DEVMINER        T     2007-04-13-18.47.45.079222
DW_OPERRPARM                    DEVMINER        T     2007-06-10-17.42.47.550184
DW_OPERRPARMWFR                 DEVMINER        T     2007-06-10-17.42.47.710256
DW_OPERRTCL                     DEVMINER        T     2007-06-10-17.42.47.811372
DW_OPERRWKCNT                   DEVMINER        T     2007-06-10-17.42.47.944751
DW_OPERSCRAP                    DEVMINER        T     2007-04-13-18.47.45.191727
DW_OPERSPMEG                    DEVMINER        T     2007-04-13-18.47.45.290429
DW_WFRSCRHS                     DEVMINER        T     2007-04-13-18.47.45.636901
OH_ACTUNBALALT                  DEVMINER        T     2007-05-30-18.57.10.882223
SD_CHECKIDDEF                   DEVMINER        T     2007-06-05-15.01.58.206339
SD_CHECKLISTDEF                 DEVMINER        T     2007-06-05-15.01.58.395534
SD_FHLOT                        DEVMINER        T     2007-05-30-18.57.21.177011
SD_FHLOT_UDATA                  DEVMINER        T     2007-05-30-18.57.21.521279
SD_FHLOTCOMMENT                 DEVMINER        T     2007-05-30-18.57.21.303303
SD_FHLOTNOTE                    DEVMINER        T     2007-05-30-18.57.21.372117
SD_FHLOTOPENOTE                 DEVMINER        T     2007-05-30-18.57.21.450302
SD_FRCODE                       DEVMINER        T     2007-05-30-18.57.21.595812
SD_FRDRBL                       DEVMINER        T     2007-06-05-15.01.51.822451
SD_FRDRBL_UDATA                 DEVMINER        T     2007-06-05-15.01.52.033342
SD_FRENTINHBT                   DEVMINER        T     2007-06-05-15.01.48.786435
SD_FRENTINHBT_ENTTY             DEVMINER        T     2007-06-05-15.01.48.984869
SD_FRENTINHBT_SLOTTP            DEVMINER        T     2007-06-05-15.01.49.199868
SD_FRENTINHBTSTP                DEVMINER        T     2007-05-30-18.57.21.873240
SD_FREQP                        DEVMINER        T     2007-06-21-11.52.27.262144
SD_FREQP_LOT                    DEVMINER        T     2007-06-21-11.52.27.397177
SD_FREQP_STK                    DEVMINER        T     2007-06-05-15.01.46.958059
SD_FREQP_UDATA                  DEVMINER        T     2007-06-05-15.01.47.162902
SD_FRFOUP                       DEVMINER        T     2007-06-21-11.52.27.505960
SD_FRFOUP_LOT                   DEVMINER        T     2007-06-05-15.01.50.595456
SD_FRFOUP_UDATA                 DEVMINER        T     2007-06-21-11.52.27.779344
SD_FRFOUP_WAFER                 DEVMINER        T     2007-06-05-15.01.51.069051
SD_FRLOT                        DEVMINER        T     2007-06-21-11.52.26.243946
SD_FRLOT_EQP                    DEVMINER        T     2007-06-21-11.52.26.435131
SD_FRLOT_FUTUREHOLD             DEVMINER        T     2007-06-05-15.01.52.660671
SD_FRLOT_HOLDEQP                DEVMINER        T     2007-06-21-11.52.26.950697
SD_FRLOT_HOLDRECORD             DEVMINER        T     2007-06-21-11.52.26.547106
SD_FRLOT_MTRLCONTNRS            DEVMINER        T     2007-06-21-11.52.26.715398
SD_FRLOT_UDATA                  DEVMINER        T     2007-06-21-11.52.26.842265
SD_FRLOTCMT_UD                  DEVMINER        T     2007-05-30-18.57.22.763892
SD_FRLOTCOMMENT                 DEVMINER        T     2007-06-05-15.01.53.511053
SD_FRLOTCOMMENT_UDATA           DEVMINER        T     2007-06-05-15.01.53.705319
SD_FRLOTFAMILY                  DEVMINER        T     2007-06-05-15.01.53.894147
SD_FRLOTFAMILY_ARCHIV           DEVMINER        T     2007-06-05-15.01.54.235972
SD_FRLOTFAMILY_CURLOT           DEVMINER        T     2007-06-05-15.01.54.450110
SD_FRLOTFAMILY_SCRAP            DEVMINER        T     2007-06-05-15.01.54.662983
SD_FRLOTFAMILY_UDATA            DEVMINER        T     2007-06-05-15.01.54.851443
SD_FRLOTFAMY_ARC                DEVMINER        T     2007-05-30-18.57.22.971604
SD_FRLOTFAMY_CLT                DEVMINER        T     2007-05-30-18.57.23.042203
SD_FRLOTFAMY_SCP                DEVMINER        T     2007-05-30-18.57.23.110902
SD_FRLOTFAMY_UD                 DEVMINER        T     2007-05-30-18.57.23.180468
SD_FRLOTNOTE                    DEVMINER        T     2007-06-05-15.01.55.040160
SD_FRLOTNOTE_UD                 DEVMINER        T     2007-05-30-18.57.23.329564
SD_FRLOTNOTE_UDATA              DEVMINER        T     2007-06-05-15.01.55.228776
SD_FRLOTOPENOTE                 DEVMINER        T     2007-06-05-15.01.55.414906
SD_FRLOTOPENOTE_UDATA           DEVMINER        T     2007-06-05-15.01.55.602931
SD_FRLOTOPNTE_UD                DEVMINER        T     2007-05-30-18.57.23.522181
SD_FRPORT                       DEVMINER        T     2007-06-05-15.01.56.205334
SD_FRPORT_UDATA                 DEVMINER        T     2007-06-05-15.01.57.366765
SD_FRPORTACSMODE                DEVMINER        T     2007-06-05-15.01.56.452089
SD_FRPORTFOUPCAP                DEVMINER        T     2007-06-05-15.01.56.761064
SD_FRPORTOPEMODE                DEVMINER        T     2007-06-05-15.01.56.947430
SD_FRPRCRSC                     DEVMINER        T     2007-06-05-15.01.47.624513
SD_FRPRCRSC_UD                  DEVMINER        T     2007-05-30-18.57.24.536735
SD_FRPRCRSC_UDATA               DEVMINER        T     2007-06-05-15.01.47.815851
SD_FRQTIME                      DEVMINER        T     2007-06-21-11.52.27.074401
SD_FRQTIME_UDATA                DEVMINER        T     2007-06-05-15.01.56.017056
SD_FRRTCLPOD                    DEVMINER        T     2007-06-05-15.01.49.402097
SD_FRRTCLPOD_RSVRTCL            DEVMINER        T     2007-06-05-15.01.49.595031
SD_FRRTCLPOD_RTCL               DEVMINER        T     2007-06-05-15.01.49.783050
SD_FRRTCLPOD_UD                 DEVMINER        T     2007-05-30-18.57.25.019392
SD_FRRTCLPOD_UDATA              DEVMINER        T     2007-06-05-15.01.49.971902
SD_FRRTCLPODRTCL                DEVMINER        T     2007-05-30-18.57.24.819835
SD_FRRTCLPODRVRT                DEVMINER        T     2007-05-30-18.57.24.888846
SD_FRSAMPL                      DEVMINER        T     2007-06-05-15.01.55.791560
SD_FRSTK                        DEVMINER        T     2007-06-05-15.01.48.002626
SD_FRSTK_EQP                    DEVMINER        T     2007-06-05-15.01.48.208634
SD_FRSTK_RSC                    DEVMINER        T     2007-06-05-15.01.48.406712
SD_FRSTK_UDATA                  DEVMINER        T     2007-06-05-15.01.48.592543
SD_FRSTKGDARE                   DEVMINER        T     2007-06-05-15.01.46.430033
SD_FRSTKGDAREWFR                DEVMINER        T     2007-06-05-15.01.46.540457
SD_FRUSERSKILL                  DEVMINER        T     2007-06-05-15.01.50.164733
SD_FRWAFER                      DEVMINER        T     2007-06-21-11.52.27.894326
SD_FRWAFER_UDATA                DEVMINER        T     2007-06-21-11.52.28.021059
SD_FRWFRGRADEDEF                DEVMINER        T     2007-06-05-15.04.17.686700
SD_FVCODE                       DEVMINER        V     2007-06-05-16.37.56.624721
SD_FVENTINHBT                   DEVMINER        V     2007-06-05-16.37.56.641113
SD_FVENTINHBT_ENTTY             DEVMINER        V     2007-06-05-16.37.56.670254
SD_FVENTINHBT_SLOTTP            DEVMINER        V     2007-06-05-16.37.56.656080
SD_FVEQP                        DEVMINER        V     2007-06-21-11.52.38.106267
SD_FVEQP_LOT                    DEVMINER        V     2007-06-21-12.01.34.822301
SD_FVEQP_STK                    DEVMINER        V     2007-06-21-11.52.38.136099
SD_FVEQP_UDATA                  DEVMINER        V     2007-06-21-11.52.38.154674
SD_FVEQPPRCRSC                  DEVMINER        V     2007-06-05-16.37.56.755113
SD_FVEQPPRCRSC_UDATA            DEVMINER        V     2007-06-05-16.37.56.772773
SD_FVFOUP                       DEVMINER        V     2007-06-21-11.52.38.171137
SD_FVFOUP_LOT                   DEVMINER        V     2007-06-21-11.52.38.187977
SD_FVFOUP_UDATA                 DEVMINER        V     2007-06-21-11.52.38.269583
SD_FVFOUP_WAFER                 DEVMINER        V     2007-06-21-11.52.38.285727
SD_FVLOT                        DEVMINER        V     2007-06-21-11.52.38.303624
SD_FVLOT_EQP                    DEVMINER        V     2007-06-21-11.52.38.325880
SD_FVLOT_FOUP                   DEVMINER        V     2007-06-21-11.52.38.390622
SD_FVLOT_FUTUREHOLD             DEVMINER        V     2007-06-21-11.52.38.341170
SD_FVLOT_HOLDEQP                DEVMINER        V     2007-06-21-11.52.38.357922
SD_FVLOT_HOLDRECORD             DEVMINER        V     2007-06-21-11.52.38.374853
SD_FVLOT_UDATA                  DEVMINER        V     2007-06-21-11.52.38.406940
SD_FVLOTCOMMENT                 DEVMINER        V     2007-06-05-16.37.57.050896
SD_FVLOTCOMMENT_UDATA           DEVMINER        V     2007-06-05-16.37.57.065969
SD_FVLOTFAMILY                  DEVMINER        V     2007-06-05-16.37.56.977432
SD_FVLOTFAMILY_ARCHIV           DEVMINER        V     2007-06-05-16.37.56.993276
